Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
05/31/2023,Nebraska,2020,38,2020-09-19,328,303,,56,,16,,22,,,,73,17,24,20,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,39,2020-09-26,378,342,,67,10,23,,19,,,,72,17,26,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,40,2020-10-03,373,345,,59,13,19,,15,,,,60,19,41,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,41,2020-10-10,406,367,,65,17,14,,22,,,,73,18,52,46,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,42,2020-10-17,401,374,,76,13,20,,15,,,,65,15,51,49,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,43,2020-10-24,425,408,,79,10,28,,21,,,,60,22,75,64,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,44,2020-10-31,442,412,,57,16,18,,20,,,,73,19,80,69,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,45,2020-11-07,498,473,,62,17,21,,17,,,10,83,14,133,115,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
05/31/2023,Nebraska,2020,46,2020-11-14,551,513,,61,13,21,,30,,,,67,25,181,168,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,47,2020-11-21,574,549,,85,12,22,,20,,,,78,24,200,181,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,48,2020-11-28,565,550,,73,15,14,,17,,,,73,24,230,203,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,49,2020-12-05,514,495,,72,16,15,,22,,,,62,14,201,177,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,50,2020-12-12,501,476,,65,14,22,,17,,,,79,19,164,144,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,51,2020-12-19,460,434,,65,13,17,,19,,,,80,16,121,115,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,52,2020-12-26,426,402,,70,15,19,,13,,,,69,25,117,98,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2020,53,2021-01-02,434,408,,73,14,16,,32,,,,65,16,99,81,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,1,2021-01-09,447,415,,68,15,18,,18,,,,87,19,96,81,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,2,2021-01-16,391,370,,55,,20,,28,,,,65,12,84,69,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,3,2021-01-23,407,383,,83,10,17,,18,,,,72,12,73,60,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,4,2021-01-30,378,349,,60,11,23,,17,,,,54,22,58,53,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,5,2021-02-06,364,334,,63,11,16,,12,,,,77,13,43,33,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,6,2021-02-13,341,309,,54,,13,,16,,,,70,17,33,25,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,7,2021-02-20,328,307,,50,12,13,,17,,,,70,17,33,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,8,2021-02-27,318,301,,62,14,10,,19,,,,66,18,17,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,9,2021-03-06,354,329,,66,,18,,15,,,,80,22,24,13,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,10,2021-03-13,318,301,,67,12,,,14,,,,66,27,20,12,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,11,2021-03-20,327,299,,65,11,12,,16,,,,68,11,15,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,12,2021-03-27,333,310,,63,15,14,,16,,,,68,11,15,10,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,13,2021-04-03,329,300,,58,12,,,19,,,,67,24,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2021,14,2021-04-10,323,308,,79,13,,,21,,,,59,16,12,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
05/31/2023,Nebraska,2021,15,2021-04-17,363,336,,69,17,14,,20,,,,81,18,15,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,16,2021-04-24,328,307,,68,,17,,13,,,,75,20,18,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,17,2021-05-01,368,340,,69,10,11,,15,,,,87,21,21,18,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,18,2021-05-08,341,314,,75,12,14,,17,,,,68,12,17,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
05/31/2023,Nebraska,2021,19,2021-05-15,370,350,,85,,12,,24,,,,74,24,19,13,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,20,2021-05-22,320,305,,73,14,,,20,,,,66,15,15,10,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,21,2021-05-29,325,304,,76,14,13,,18,,10,,62,14,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2021,22,2021-06-05,311,282,,53,,17,10,14,,,,77,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2021,23,2021-06-12,315,278,,75,,13,,16,0,,,56,13,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2021,24,2021-06-19,325,302,,71,16,12,,14,,,,69,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2021,25,2021-06-26,315,289,,67,11,,,16,,,,62,,,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),
05/31/2023,Nebraska,2021,26,2021-07-03,310,288,,84,,16,,14,,,,72,15,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2021,27,2021-07-10,301,267,,70,,14,,19,,,,62,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2021,28,2021-07-17,317,295,,61,,19,,24,,,,82,16,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2021,29,2021-07-24,334,304,,71,,11,,13,,,,85,14,15,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
05/31/2023,Nebraska,2021,30,2021-07-31,361,337,,67,12,,,25,,,,73,14,17,16,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,31,2021-08-07,367,349,,68,11,15,,18,,,,79,21,29,19,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,32,2021-08-14,356,331,,82,,,,20,,,,69,12,22,22,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,33,2021-08-21,357,323,,82,,14,,,,,,65,14,41,33,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,34,2021-08-28,359,329,0,74,,13,,14,,,,66,22,37,33,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,35,2021-09-04,342,318,,72,,,,16,,,,65,11,34,32,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,36,2021-09-11,388,364,,72,12,,,23,,,,67,14,40,38,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,37,2021-09-18,366,339,,73,12,12,,13,,,,69,15,32,30,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,38,2021-09-25,385,363,,60,12,,,25,10,,,67,13,62,56,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,39,2021-10-02,393,368,,71,11,10,,21,,,,75,24,48,42,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,40,2021-10-09,399,375,,62,12,14,,21,,,,85,19,65,54,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,41,2021-10-16,409,383,,75,,16,,23,,,,76,18,63,58,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,42,2021-10-23,420,377,,74,12,,,18,,,,83,17,49,45,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,43,2021-10-30,415,390,,84,17,11,,21,,,,74,14,60,50,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,44,2021-11-06,382,354,,72,11,,,19,,,,76,16,54,50,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,45,2021-11-13,422,397,,70,17,14,,22,,,,89,18,52,47,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,46,2021-11-20,437,408,,62,18,15,,21,,,,86,25,71,62,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,47,2021-11-27,413,376,,65,15,21,,21,,,,71,19,59,53,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,48,2021-12-04,431,402,,75,10,15,,21,,0,,82,13,81,72,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,49,2021-12-11,464,441,,79,16,15,,22,,,,74,22,80,73,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,50,2021-12-18,411,380,,76,10,10,,15,,,,72,18,84,76,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,51,2021-12-25,448,430,,63,13,24,,29,,,,88,15,73,65,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2021,52,2022-01-01,410,379,,55,11,12,,24,,,,83,15,63,57,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,1,2022-01-08,465,436,12,77,,23,,19,,,,86,14,74,60,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,2,2022-01-15,487,456,,68,10,21,,15,,,,88,20,98,81,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,3,2022-01-22,421,391,,53,14,16,10,18,,,,89,23,75,57,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,4,2022-01-29,490,462,,68,15,24,,25,,,,102,17,103,81,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,5,2022-02-05,426,403,,69,12,27,10,17,,,,64,14,94,72,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,6,2022-02-12,472,443,,76,17,13,10,19,,,,95,21,80,59,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,7,2022-02-19,405,376,,64,16,11,,14,,,,85,16,68,54,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,8,2022-02-26,374,350,,52,15,13,,26,,,,70,24,41,27,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,9,2022-03-05,372,340,,72,11,,,20,,,,82,17,44,27,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,10,2022-03-12,334,302,,52,11,11,,24,,,,62,17,29,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,11,2022-03-19,363,337,,71,,13,,17,,,,82,18,12,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,12,2022-03-26,332,311,,76,,11,,16,,,,63,15,10,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,13,2022-04-02,324,296,,68,10,13,,12,,,,65,12,12,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,14,2022-04-09,319,301,,57,,17,,20,,,,63,17,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,15,2022-04-16,343,317,,61,14,14,,10,,,,70,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,16,2022-04-23,329,305,,66,,19,,13,,,,79,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,17,2022-04-30,340,314,,54,11,18,,21,,,,63,12,12,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,18,2022-05-07,309,287,,49,,,0,11,,,,73,18,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,19,2022-05-14,346,312,,58,12,23,,15,,,,62,23,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,20,2022-05-21,322,286,,65,,10,,10,,,,54,20,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,21,2022-05-28,330,299,,68,18,13,,14,,,,54,17,13,10,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,22,2022-06-04,339,309,,67,12,20,,20,,,,68,19,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,23,2022-06-11,305,274,,63,,,,14,,,,71,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,24,2022-06-18,286,254,,48,13,16,,15,,,,54,10,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,25,2022-06-25,315,288,,63,12,19,,21,,,,59,15,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,26,2022-07-02,320,297,,78,,10,,21,,,,62,14,17,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,27,2022-07-09,355,330,,84,,18,,16,,,,71,16,20,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,28,2022-07-16,324,291,,56,12,14,0,20,,,,70,12,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,29,2022-07-23,354,331,,73,10,11,,17,,,,66,18,15,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
05/31/2023,Nebraska,2022,30,2022-07-30,341,315,,60,17,11,,22,,,,74,16,19,14,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,31,2022-08-06,337,307,,61,,18,,19,,,,78,17,16,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Nebraska,2022,32,2022-08-13,322,296,,62,16,,,13,,,,69,,16,12,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
